"sample","S2","S3","S4","S5","S6","S7","S8","S10","S11","S12","S13","S14","S15","S16","S18","S19","S20","S21","S22","S23","S24","S26","S27","S28","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S40","S42","S43","S44","S45","S46","S47","S48","S50","S51","S52","S53","S54","S55","S56","S58","S59","S60","S61","S62","S63","S64","S66","S67","S68","S69","S70","S71","S72","S74","S75","S76","S77","S78","S79","S80","S82","S83","S84","S85","S86","S87","S88","S90","S91","S92","S93","S94","S95","S96","S98","S99","S100","S101","S102","S103","S104","S106","S107","S108","S109","S110","S111","S112","S114","S115","S116","S117","S118","S119","S120","S122","S123","S124","S125","S126","S127","S128","S130","S131","S132","S133","S134","S135","S136","S138","S139","S140","S141","S142","S143","S144","S146","S147","S148","S149","S150","S151","S152","S154","S155","S156","S157","S158","S159","S160","S162","S163","S164","S165","S166","S167","S168","S170","S171","S172","S173","S174","S175","S176","S178","S179","S180","S181","S182","S183","S184","S186","S187","S188","S189","S190","S191","S192","S194","S195","S196","S197","S198","S199","S200"
"M21"," 890.2953"," 877.0896"," 869.2606","1029.7711"," 967.7103","1100.3111","1170.1241","1063.9330"," 816.9525","1681.7091","1375.5663","1453.9584","1416.7916","1009.2831","1081.3098","1224.0370"," 879.6669","1303.5915"," 990.0553","1327.6334","1058.0006"," 768.8324","1299.1044","1130.4254","1146.4572","1155.3541","1348.1323","1064.0246","1187.6291","1347.1157","1127.5855","1314.1521","1058.3925"," 774.5079","1286.7498"," 981.9510","1136.6441","1206.3658","1118.1979"," 998.7090"," 643.4220"," 697.4969"," 757.3640","1410.2938","1125.2861","1321.4177","1250.5800"," 936.4860","1011.5147"," 988.8117"," 961.5983","1037.7217"," 832.2512","1291.4706"," 852.4522"," 846.5427","1033.8803","1179.4362","1288.8081"," 968.2657","1697.5521","1101.4470","1538.9920","1147.2289","1052.0957","1078.2271"," 765.4386"," 893.1086","1193.1669","1460.8000","1080.1388","1344.8738","1000.6127","1444.0020"," 947.4368","1285.2226","1546.7315","1163.1650"," 942.0167"," 992.7587","1001.9983","1339.9552"," 935.8097","1376.7060","1875.8455","1114.3929","1210.3331"," 825.5005"," 849.7966"," 568.5294"," 693.0834"," 980.1797"," 840.6158","1039.9199"," 898.8573","1087.0937"," 983.8093","1003.1459"," 909.7685","1307.3900"," 981.0213","1421.8551","1058.7565","1274.0640","1110.5551"," 987.6425","1134.5792"," 756.9084"," 995.5906"," 857.7199","1016.7048"," 906.1995"," 738.3784","1025.3711"," 837.6454"," 866.0961","1101.6021"," 867.6275","1085.9135"," 878.3802"," 945.2840"," 839.7885"," 787.6670"," 794.0952"," 776.5804"," 780.6061"," 682.0616"," 797.9828"," 608.6416"," 659.1633"," 606.3874","1499.2954"," 934.2743","1023.7035"," 738.3572","1205.3630","1459.0010"," 831.2764"," 941.9598","1008.6060"," 933.8030","1141.5734"," 921.4417"," 800.4641","1301.8679","1246.4071"," 977.8372"," 826.3368","1052.1371"," 910.6832"," 811.4937"," 747.1875","1189.4155","1137.5984"," 919.7513"," 936.7490","1023.5426"," 796.8701","1379.6599"," 988.5527","1168.9324","1350.0671","1176.4576","1236.3288","1343.9277","1148.9341","1431.5394"," 929.7928","1224.8255","1031.3886"," 799.6801","1089.2010","1292.3464"," 931.4987"," 544.1283"
"M22","1141.9037"," 970.3276","1191.4419"," 909.8672"," 827.1796"," 959.0719","1058.3060"," 622.1188"," 906.4297","1025.1232"," 882.0702"," 660.7505","1027.1137"," 914.3377"," 903.6860","1040.6677","1026.4765"," 933.1330","1111.7986"," 953.8348"," 844.0198","1001.4772","1004.8935"," 894.5025"," 821.2965","1192.2715","1139.7054","1065.1749"," 994.6879","1166.4183","1328.8494","1087.4719","1067.0924"," 829.4831"," 850.9679","1051.9819","1280.7267","1247.8690"," 970.7670","1658.5820"," 822.6247","1739.1800","1308.5614"," 945.0085"," 839.3347"," 974.6993"," 987.5885"," 854.4416"," 970.2451"," 863.2417","1108.7076","1233.3497","1265.9599","1100.5412","1038.8241","1265.6155","1105.2180","1139.0304","1085.3374"," 949.7330","1400.0828","1025.1036","1192.1885","1259.4125","1098.7884"," 869.4984","1244.5862","1528.0632","1378.5594","1487.9226","1117.2884","1119.2302","1634.4534","1326.5430","1525.4922","1384.4277","1397.8358","1281.1305","1033.1908","1059.4295","1056.4455"," 818.7123","1374.6213","1006.6010","1123.8341","1090.4425","1950.8874"," 364.5963"," 639.4240"," 536.9337"," 445.0673"," 641.4667"," 820.3169","1212.1781"," 801.7333","1078.9935"," 907.0098"," 925.4517","1237.2872"," 986.6028"," 727.2884"," 849.6959","1163.0680","1377.3216","1453.7360"," 842.0656"," 932.8157"," 969.7763","1005.3125"," 802.0670","1221.4667","1197.3726","1170.1454","1196.1161","1099.1468","1119.7677"," 841.3049","1082.9116"," 846.2618"," 756.6703","1193.8599","1015.0161"," 831.1449","1249.3895"," 950.5474"," 932.7168","1521.3676"," 999.2332"," 834.7788"," 952.2513"," 997.4297"," 926.0696","1601.3493"," 612.4161"," 988.1893","1040.5625","1191.5044"," 870.1494","1038.9170"," 986.9246","1053.7563"," 880.9334","1304.5670"," 990.6874","1244.1209","1132.9480","1143.6256"," 834.2726","1043.7291","1349.0097"," 783.0066"," 912.8460"," 952.4239","1013.0642","1488.1843","1046.9868"," 830.4411","1031.1930","1101.7470","1063.7636","1222.9381"," 864.7512","1108.5405","1135.4219"," 873.7298"," 852.1659"," 699.9517","1042.3872"," 597.9771"," 486.7915"," 655.6862"," 498.6149"," 330.9570"," 438.7327"," 312.8561"
"M23","1140.6343","1115.7663"," 883.1315","1556.2554"," 873.1250"," 777.4219"," 996.3901"," 781.1733"," 549.7420","1158.8338"," 745.2983"," 936.3001","1305.9047","1460.9015"," 729.7885","1253.7639","1152.7812"," 786.1206","1204.3304","1592.2293"," 907.0333"," 888.5202","1061.5647","1190.2951","1201.6913"," 985.3567","1464.8552"," 975.7307","1172.4814","1015.2094","1294.9514","1091.3918","1345.4429"," 821.9974","1392.7198","1100.7907"," 912.3743"," 879.9710"," 844.6063"," 896.9097"," 770.2466"," 836.0333"," 957.6578"," 722.8042"," 829.1182"," 768.6060"," 915.8348"," 763.9356"," 572.6069"," 832.0057","1465.7431","1150.9750"," 777.3483","1010.4774"," 916.2408"," 815.1412","1122.5382"," 906.7063"," 770.1778","1141.4478"," 993.2235","1102.9811","1140.0610","1361.3429","1210.1168","1392.2406","1101.2560","1193.4378","1280.3839","1210.2670","1514.0838","1042.3488","1315.7681","1262.7834","1152.7004","1454.2217","1143.7406","1136.9364"," 954.9272"," 795.8630"," 737.7632"," 912.0232"," 691.5621","1199.1683","1085.5433"," 907.5653"," 729.0997","1011.0167","1019.7418","1049.1939"," 716.5285","1577.8107","1364.4507","1111.0804","1311.5185","1163.5201"," 898.3136","1474.6621","1392.8986","1227.3902","1124.3961","1662.2412"," 857.8201"," 832.6540","1186.0634"," 621.0289"," 661.1890"," 877.9741"," 767.9813","1210.8852"," 825.3558"," 820.6697"," 915.5770"," 760.6729","1047.3187"," 872.7954"," 862.5244"," 924.8984"," 578.4739"," 930.0361"," 841.8389"," 808.6726"," 713.7704"," 995.7545"," 777.8833","1002.2722","1157.8775"," 754.6195"," 697.7408","1245.3633","1090.0674"," 602.0774"," 645.5954","1293.0601","1047.1335","1056.2275","1279.0579","1068.4525"," 776.8259","1051.8811"," 652.0312","1190.3098"," 969.0046","1191.8814","1484.7345","1667.5672","1208.7359"," 544.0232","1214.1897","1315.6931","1005.8842","1014.1839","1044.8770","1094.9881","1167.5645"," 863.0220","1092.0505","1264.8015","1122.3651"," 800.5251","1065.2321","1107.5507","1305.8936","1243.4608","1055.3020"," 845.5467"," 899.0844","1231.4451"," 599.8733"," 726.5614"," 669.7518"," 818.3075"," 812.8068"," 752.0736"," 644.2122"
"M24","1172.5462","1058.2432","1209.3302"," 910.1317"," 940.1169"," 745.7070","1182.9543","1333.9267"," 926.6528","1213.7433","1019.2884","1631.1267","1373.8858","1421.8253","1287.4138","1113.2634","1158.7920","1210.9283"," 914.9218"," 786.3236","1093.1113","1243.3132"," 915.9151"," 743.1868","1392.1061"," 858.3358","1051.5480"," 860.0141"," 985.9018","1208.3231","1696.3935","1310.6747"," 699.1737"," 795.7419","1256.5094"," 962.3797"," 806.8806"," 959.5179"," 953.2742"," 786.6204"," 671.2328"," 841.5270"," 995.0212"," 650.6280"," 731.6136"," 690.1151"," 783.0414"," 794.3580"," 605.7110"," 737.5316","1243.3741"," 986.8990","1002.0293","1137.9707","1458.6862"," 682.8252","1304.3352"," 956.3064","1027.1577","1238.7437","1133.0039","1144.3247"," 950.6239"," 771.2609"," 707.2404","1096.7711","1256.2050","1276.6687","1153.6667","1748.9669","1148.6225","1107.6066","1292.6663","1295.7665","1371.7243","1103.2229","2044.7335"," 832.0943","1074.0430","1008.9534"," 872.5582","1008.5523"," 884.1738"," 752.3084"," 560.6428"," 499.9750"," 439.8384","2653.9664"," 930.9734","1254.1512","1662.5686","1011.0273"," 930.5813","1034.2020","1199.1695","1207.4105"," 723.2427","1022.1983","1090.3986","1153.9940","1108.2648","1105.1405","1334.5344","1079.2392","1083.2808"," 885.1333"," 595.6932"," 850.3831"," 925.1677","1136.1160"," 943.0666","1152.4552","1069.3953","1043.3178"," 903.2918","1166.3075"," 919.8184"," 760.9729","1074.7392"," 797.8251","1296.5869"," 733.5254"," 642.6210"," 819.2145"," 839.2310","1000.7976","1084.7273","1019.5926","1158.6265"," 796.7166"," 930.0087"," 614.4127","1103.4358"," 831.7922"," 894.0674"," 737.3097","1416.8776"," 973.1955"," 751.2255","1132.9647"," 835.0460","1010.0268"," 945.4236","1196.6981"," 891.6013"," 885.8916"," 810.5853"," 675.4356","1375.5621","1028.1842"," 686.5108"," 823.7025"," 960.5992","1001.5364","1700.2907"," 965.7142"," 984.1129","1037.3043"," 920.3336","1029.1665","1266.2491","1139.2347","1695.3603","1088.6833","1023.4375","1149.9890","1396.6029","1084.7374","1342.6247","1221.0629","1304.2189","1631.0999","2085.7742","1438.4221","1301.6012"
"M25"," 412.6965","2281.0575","2529.2206","1295.9442"," 821.4014"," 465.9111"," 262.7912"," 383.2151","2931.0834","1413.1389"," 526.3436","1502.8632"," 665.2581","1113.0488"," 699.0658","3207.7505"," 741.0238","1325.5246"," 848.1045","1167.9389"," 253.1746"," 983.4450","2055.3825"," 743.4494","1336.7453","1462.6000","2600.6482","1216.1709","1306.1938","1808.3798","1389.5946"," 859.8525","1691.3368"," 836.0280","3310.8469","1513.0643","1893.8476","1042.5984"," 768.1780","1049.4590","1264.4668"," 246.4232"," 978.2866","1756.4136"," 439.7666"," 547.7245"," 626.6791"," 264.6771","1811.4334","1589.3863","1758.5169","1242.1542","1713.9905","1023.2247"," 718.8824"," 946.5306"," 915.9719","1419.2509","1042.9901"," 408.9521","1648.0409","1221.4756"," 669.9104"," 539.2014","1505.2219","1009.7558","1245.5750"," 903.6026","1322.0248","1853.3291"," 484.2834","1042.2135","1782.3252","5901.9173","1616.8795"," 348.9591","3659.7307","2155.6880","1234.8737"," 586.9754"," 916.0734"," 774.8902","1479.8411"," 817.3223"," 551.2078"," 622.3377"," 535.9390","3631.0407"," 877.9761"," 959.7484"," 603.4959","1828.5540"," 727.4423","2637.0547","1205.5762","2502.5477"," 683.3920"," 566.7312"," 743.0279","1454.7988"," 880.4037"," 971.3976"," 932.8078","3410.8661","2391.1906","1380.7975","1191.9824","1382.6743"," 272.2880","3115.1697"," 693.8135","2231.8207"," 704.6223"," 238.5317","2441.6210","1938.2096"," 531.1701"," 488.6419"," 571.3959","1695.6071","2424.4108","1220.0597"," 190.3096"," 663.6789"," 721.4896"," 547.9159"," 888.2943","1403.8710","1194.4409","1310.7001","2597.5023"," 498.5757"," 998.1905"," 787.4373"," 747.0475"," 980.3809"," 355.5128"," 455.7798"," 709.2627"," 701.7074"," 778.6552"," 452.0545"," 864.2363"," 371.3792","1104.8128"," 976.1774","1102.9899"," 382.5041","1195.0482","1549.7461","1075.3550","3368.9410","2000.0717","1284.9476","4428.1910"," 953.3159"," 428.9903"," 959.8645"," 986.8243","5091.0398","2241.6204"," 897.9010","1138.5532","1773.7963"," 768.7786"," 325.2896","1545.4350"," 587.7797","1630.9031"," 353.0858"," 787.6911"," 629.9884"," 273.9182"," 645.1343"," 383.6574"
"M26"," 831.6565"," 617.6088"," 664.1894","2082.8872","1429.7377","1794.0811","1595.0875"," 816.7831"," 684.1998","1537.3602","1661.7461","1515.7186"," 606.3852"," 635.2629"," 557.3293"," 828.1165"," 695.9201","1544.8022"," 546.2658"," 571.3347","1157.1088","1974.1093","1283.8692","2411.2917","2325.0835","2317.8299","2136.0999","1799.3403","1400.5059","1479.4587","1831.9716"," 773.9588","1607.0286"," 703.8178","1823.6671"," 725.0775"," 906.5598"," 731.5905"," 925.4889","1917.9301"," 682.7357"," 989.8624"," 825.7198"," 473.3574"," 944.9046"," 459.0058","1064.7224"," 772.6909"," 799.5489"," 899.8620"," 892.6432"," 730.3968","1268.4045"," 988.9748"," 462.3785"," 445.2126"," 711.4695"," 594.1860","1834.6425"," 598.0510","1585.8771"," 462.3295","1612.9658","1439.8215"," 772.8987"," 626.0664"," 599.3711","1607.7815"," 813.1018","1702.4944"," 840.2239"," 803.4762","1030.6172","3122.7851","1984.5656","1559.8437","2616.7626","1533.3894","1010.4308"," 862.3989","2487.7574","1220.1095"," 561.6072","1228.1026","1319.6686"," 300.2664"," 276.6822","1390.5476"," 529.8875"," 647.6778","1414.4290","1095.5966"," 557.0246"," 637.7808"," 880.5930"," 943.5585","1608.4686"," 754.4118"," 669.2377"," 790.1521","1554.8535"," 783.1342"," 830.3739"," 770.3926","1758.6366","1703.4920"," 554.1601","1632.8462","1930.3536"," 706.2295","1641.1198","1917.7743"," 885.0883","2118.9978"," 641.3984","1644.9276"," 767.8554"," 885.3744","1580.5114","1454.0266","1399.2017","2403.4227","1856.2607"," 534.4782","1724.5562","1837.7081","1404.2344"," 695.1806"," 660.8885","1953.6944","1302.5384"," 647.4411","2453.6398","1483.6544"," 832.0778"," 807.3442","1720.3153","1697.7397","1433.0255"," 638.9557","1785.6597","2181.7042"," 719.4749"," 997.2265","1006.6445","1525.5774","1469.9587"," 806.4170","1897.9509","1329.3997","1431.4268"," 602.1746","1695.5505","1825.3882"," 966.4119"," 784.8185","1547.6798","1317.5281","1384.0287","1047.7861","2035.3006"," 687.7448"," 933.3027"," 775.1945","1924.4893","1003.0775","1804.9933","1929.7355","1915.3189"," 790.2280"," 727.0524","2046.2920"," 928.9130","1060.1245","1440.9354"
"M27","1124.7531","1270.1058"," 829.4243","1076.1023"," 788.9674","1152.7375","1502.1289","1264.6566","1133.0341"," 883.4374","1014.6177","1104.4087","1117.1343","1255.2227","1088.8150","1032.9521"," 957.3147"," 995.5922"," 916.5608","1219.7019","1123.5021"," 949.3303"," 876.4037","1319.4435","1471.3255","1039.8649"," 933.6550"," 939.4864","1087.2513","1364.5362","1300.4174","1164.4684","1122.5465","1303.1487","1031.1738","1527.4393","1337.3794"," 624.0212"," 839.7093"," 988.8371"," 845.9025"," 867.2710"," 880.4156"," 697.2630"," 703.6658"," 781.1897"," 919.6705"," 794.6219"," 773.3221"," 931.4037"," 733.4649","1012.7228","1183.9194","1333.4225","1000.3319"," 880.0716"," 927.5776"," 904.8530","1675.0510"," 972.8615","1341.8651"," 940.1118"," 825.4192"," 881.1346"," 979.2457","1263.2457"," 878.0180","1169.8883","1182.9360","1065.6707"," 735.9359"," 831.9419","1155.1956"," 849.4696","1002.9548"," 884.8928","1350.3054"," 904.5475"," 875.0030"," 847.6567","1256.2943"," 934.1598"," 961.3918","1350.8723","1109.7134"," 963.5663"," 875.3319","1610.9527","1178.4504","1167.4153"," 721.6852"," 982.1151","1094.8803"," 746.2082"," 905.9954"," 912.7389"," 985.5560"," 967.5847"," 733.1385"," 707.8946"," 933.1486"," 928.7374"," 944.4621"," 826.8159","1061.0982"," 852.0705"," 966.6720","1173.5710","1003.9895","1038.3449"," 926.6389","1013.2449","1505.2961"," 919.8320","1133.1260","1135.8337","1359.0348"," 921.6872","1191.6492"," 997.6513","1175.9644"," 716.3401"," 957.3324"," 892.8306"," 772.3194"," 930.7402"," 763.8194"," 776.0555"," 551.3220"," 840.9255"," 955.8019"," 694.6803"," 832.1565","1023.2529","1162.6521","1035.6080","1032.6678"," 901.5169","1242.1521","1031.9479"," 940.2419"," 903.2275"," 882.2535","1134.0743","1171.6435","1015.8641","1296.5984","1041.7482","1180.5455","1323.4785"," 878.8993","1200.9509","1034.7408","1261.0960","1398.2864"," 925.3601"," 998.6464","1321.4390","1132.0622"," 785.0054"," 942.4782"," 810.6284","1065.3788","1284.4118"," 784.3870"," 955.5086"," 839.7636"," 970.4364"," 959.4520"," 789.5154"," 605.5719"," 883.7621"," 540.0085"," 564.7464"," 461.5061"
"M28","1175.6257","1254.7857","1321.3449","1430.3898"," 968.7301","1106.1360","1293.1507"," 984.2491","1123.1073","1400.1879","1346.5229","1250.1653","1132.9639","1241.6132"," 882.8851","1374.2641","1164.7598","1319.1202","1090.5854","1152.6133","1506.4747"," 894.7270"," 811.9555","1436.7436","1254.2515","1691.8245"," 990.3236"," 636.1096"," 917.1575","1407.7619"," 877.0049","1196.0725"," 839.1218","1113.0517"," 942.2561","1031.4704"," 847.4071"," 851.7657","1304.9172","1178.5161","1006.2808"," 885.7093","1181.1038","1093.6029","1450.1961"," 967.7674","1029.6425","1029.7221"," 990.2415"," 665.4619","1480.7097","1629.5353","1271.0112","1528.3675","1087.4317","1071.5671","1089.6612","1121.7964","1179.9559","1140.2518","1142.9087","1223.0449","1421.3203","1385.1921","1498.8307","1301.5914","1112.8950","1139.4196","1027.3667"," 941.1711","1212.5074","1406.6457"," 731.4170","1042.8887"," 869.0843","1120.5540","1158.4001"," 775.9180"," 970.6281"," 938.7485","1046.5126"," 679.7612"," 763.1845"," 768.0601"," 944.0437","1351.1078"," 807.6537"," 745.5218","1201.3418","1114.6330"," 815.2250"," 610.6863"," 821.1898","1075.0400"," 626.8341"," 976.2098","1022.2581","1266.9489"," 854.0766"," 664.2542","1075.1279","1032.4884"," 924.8689"," 801.4301","1187.2466"," 739.1176","1219.8968","1048.4394"," 861.5989"," 745.1252"," 826.4589","1239.5066","1415.9377","1351.1528","1348.5260","1020.5075","1362.1322","1156.5547","1327.6143"," 865.2279","1390.1579"," 899.4839","1181.9551","1016.8157"," 870.9378"," 999.1087"," 969.4772"," 681.8664"," 767.0580","1034.5263"," 628.1120","1326.6673","1302.7840"," 831.6327"," 978.5724","1084.2213"," 936.9655","1104.5731"," 856.9894"," 984.4930"," 772.4997"," 988.2805"," 883.5724"," 906.0786","1398.3409","1168.8301"," 922.3877","1373.6880"," 868.2867","1498.4599","1000.1165"," 968.3824"," 992.1976","1041.8383"," 668.8914"," 989.4480"," 947.1466","1002.3849","1123.7587","1059.8555","1076.3428","1474.2478"," 814.8862"," 621.8638","1288.8559","1160.2294"," 824.0260"," 853.4971","1365.9235","1211.1028"," 921.7286","1262.1901","1449.1995"," 792.1405","1083.6287"
"M29"," 787.7513","1011.8032","1098.4695","1236.2790"," 675.5058"," 851.3800"," 867.9627"," 973.3676"," 746.7827"," 886.6300"," 887.4014","1122.2352"," 756.6614"," 846.0682"," 593.3165"," 740.5472"," 829.1142"," 759.7644"," 631.2937"," 947.7094"," 697.9850"," 834.1067","1025.7896"," 962.4746"," 939.6597","1227.3797","1221.7622"," 972.7211"," 931.2783","1270.1482"," 936.6339"," 566.3813"," 767.4504"," 869.4591"," 846.3017"," 749.7338","1387.3587","1015.8177"," 686.0325","1264.4293"," 700.8669","1066.7138"," 774.5360"," 770.4957"," 657.9403","1243.0357"," 944.3090"," 674.8524","1102.7128"," 677.8456","1230.8418","1144.1318","1174.0439","1419.7370","1205.6362"," 903.7774","1101.5889","1070.8532"," 977.9345"," 701.3115","1237.1107"," 903.3709"," 922.6308"," 895.5533","1175.1109"," 884.0840","1059.2952","1112.6921","1021.3041"," 979.2832","1479.7207","1210.0864","1376.7989","1493.2613","1208.8079","1130.7261","1464.1545","1357.2644"," 956.7901"," 636.5041","1493.0119"," 969.8861","1090.3765","1176.7473","1098.6261"," 988.6756","1072.2643","1026.6626"," 986.9653"," 963.0973"," 940.7557"," 880.9976"," 825.0891"," 921.9225"," 947.3145","1113.1669"," 852.4592","1641.7085","1212.9523"," 917.1673","1217.1874","1408.3298"," 933.4384"," 907.1202","1305.7309"," 869.0112"," 886.4484"," 839.4032","1094.2241","1676.4629"," 840.6226","1017.4948","1093.5982"," 974.9646","1408.7198","1020.4193"," 993.7171","1415.3613","1290.3515","1094.6583","1460.4643"," 669.3621"," 885.6012","1216.5751"," 819.3301"," 713.8592"," 967.6378"," 803.0965"," 859.5450"," 581.8803"," 685.4393"," 665.4443","1039.3390"," 773.3264"," 956.3968"," 815.7668","1066.5809"," 751.9886"," 708.3948","1231.4837"," 877.1106","1177.7499","1088.0399","1119.1918","1120.7111","1095.8935","1166.7375"," 836.1144"," 998.7147","1001.8733","1261.3516"," 951.3406"," 916.7379","1060.7130"," 898.4527","1052.6084"," 960.8649"," 886.2749","1221.3899","1008.3889","1025.5068","1111.5389"," 999.1190"," 979.4060","1051.3366","1482.5438","1110.4505","1316.3138","1138.7856"," 777.1726"," 954.7289"," 937.3446"," 994.4214"," 768.3245"," 726.2377"
"M30","1449.1921","1110.6716"," 981.6470","1073.4083"," 748.4236"," 789.8373","1183.9475","1004.1356"," 555.6453"," 748.4598"," 758.4800"," 802.9767","1204.4166"," 783.0424"," 705.9990"," 898.0507"," 930.5140","1075.0833"," 781.1957"," 787.7656"," 912.6966","1173.3993"," 651.5753"," 970.5453","1001.5590"," 955.0201"," 851.2254"," 715.3423","1203.7084"," 834.2393","1257.4968","1003.2451","1157.5912"," 998.9767","1250.2487","1265.7203","1006.7861","1475.0318","1023.0213","1379.1339"," 708.8571"," 955.4212"," 874.4495"," 771.7735"," 718.4593"," 646.8152"," 636.9193"," 833.4394"," 987.6026"," 575.4488","1369.7646","1333.3419","1219.8213","1122.7861","1117.9195"," 969.2389"," 900.2456","1069.5896","1337.7102"," 963.1080","1448.4611"," 938.2615","1224.9580","1531.9183","1097.3317","1190.2986"," 769.6826","1044.0773","1144.8192","1120.4178","1098.1065","1416.0841","1037.2225","1041.2430","1409.0935","1209.8563","1310.6882","1056.9942","1139.0518"," 983.2822"," 954.1211"," 995.7762"," 998.0819"," 989.7403","1135.4326"," 709.6644","1224.3807","1390.6453"," 823.8775","1195.6683","1085.3748","1367.3200","1456.6571"," 952.0734","1066.3150","1546.8457","1168.0280"," 945.0169"," 766.9529","1064.7733","1119.8229","1295.3032","1364.4949","1270.7321","1295.2596"," 814.8324","1258.0860"," 942.6429"," 996.7245","1208.7158","1136.6401"," 858.1635"," 988.0597"," 988.9085"," 958.9775"," 888.0055"," 927.0584","1283.9614","1193.9387","1058.4045","1556.5789"," 854.4447"," 752.2221","1047.4672"," 656.4284"," 992.4131"," 958.1056","1085.7654"," 835.7452"," 652.1315"," 962.4916","1139.7052","1175.5581"," 919.8724"," 968.1359"," 776.2367","1065.0730"," 717.8156","1047.0419"," 943.2128"," 837.6037","1166.2754","1320.0304","1047.1708"," 996.8744"," 992.1802","1084.6534"," 949.7368"," 790.8978"," 948.4833","1109.3118","1381.7303","1096.2228","1041.8595","1300.2840"," 619.5426","1045.9526"," 773.3547"," 979.4534","1157.1388","1284.2208"," 973.8064","1426.1120"," 993.6542","1382.0512","1058.5608","1060.1164","1092.3354"," 900.1892","1243.1419","1036.8238","1220.4762","1083.8532","1319.5403"," 852.3533"
"M31"," 811.1306","1332.1587","1069.3212"," 974.5003","1018.8918","1102.8199"," 872.3761"," 947.9342","1147.8272","1086.3059"," 825.5330","1034.9602"," 855.7345"," 884.5398"," 890.9306","1259.4999"," 951.3701","1088.0707"," 846.1255"," 719.5375"," 888.9159","1047.1306"," 916.7229"," 868.8719","1086.9231"," 850.0173","1212.1903","1086.2132"," 917.0842","1458.4545"," 982.5979","1269.3425"," 911.6165","1027.8013","1065.4791"," 719.8122"," 760.0980"," 781.7784"," 882.5462","1190.1592"," 576.8603"," 811.5310","1277.2891"," 482.0471"," 357.2035"," 768.8211"," 648.1878"," 594.3176"," 546.8065"," 946.1028","1286.5539","1084.0898","1136.5399","1001.9933"," 829.8177"," 827.3288"," 891.9534"," 935.6175"," 882.9684","1659.2389","1213.4213"," 614.5062","1594.4468","1269.0807","1104.1804","1060.1085","1060.9768","1134.9287","1019.4906","1069.8931"," 668.6266"," 943.7409","1045.6929","1232.3443"," 984.3489","1706.4520","1184.5959","1324.6719","1102.1206"," 760.3481"," 793.8713"," 694.7296"," 616.2013"," 832.1155"," 610.7037"," 449.6696"," 492.6404","3024.3609","1400.3656","1391.8920","1555.9861","1685.1779"," 907.2428"," 873.2525","1368.6098","1374.3769","1071.9866","1358.7727","1106.2846","1170.8642","1403.5794","1284.0576","1073.0227"," 893.0574","1636.4322","1153.8794"," 741.8559","1042.9476"," 640.6378"," 839.4884","1143.0183","1160.1785","1015.0318","1094.7930"," 972.1499"," 964.0832"," 834.2998","1157.0183","1239.0235","1644.7301","1223.4519","1248.4969","1368.1206","1503.7152"," 835.9682"," 988.6305","1744.0894"," 875.7937","1205.0901","1208.8055","2198.3053"," 281.6258"," 348.6064"," 718.6922"," 652.2018"," 844.9305"," 731.3817"," 733.1120"," 874.6171"," 815.7387"," 994.6859"," 758.4353"," 841.0321","1113.9141","1048.8760","1069.7690"," 775.6856","1348.4571","1684.2640","1408.3228","1450.0533","1320.5609","1057.1014"," 887.2230"," 790.0127"," 850.2447"," 937.7298"," 701.2241","1239.4471","1003.0351","1181.6109","1232.7096","1532.5735"," 935.6816"," 876.0205","1189.2954"," 906.2279","1146.7932"," 784.6624"," 610.9824"," 796.8225"," 658.3126"," 370.2748"," 397.7153"," 493.2730"
